Id Grupo sec.,Grupo secundario,R (Volumen),Q (Área)
1,CH3,0.9011,0.848
2,CH2,0.6744,0.54
3,CH,0.4469,0.228
4,C,0.2195,0
5,CH2=CH,1.3454,1.176
6,CH=CH,1.1167,0.867
7,CH2=C,1.1173,0.988
8,CH=C,0.8886,0.676
70,C=C,0.6605,0.485
9,ACH,0.5313,0.4
10,AC,0.3652,0.12
11,ACCH3,1.2663,0.968
12,ACCH2,1.0396,0.66
13,ACCH,0.8121,0.348
14,OH,1,1.2
15,CH3OH,1.4311,1.432
16,H2O,0.92,1.4
17,ACOH,0.8952,0.68
18,CH3CO,1.6724,1.488
19,CH2CO,1.4457,1.18
20,CHO,0.998,0.948
21,CH3COO,1.9031,1.728
22,CH2COO,1.6764,1.42
23,HCOO,1.242,1.188
24,CH3O,1.145,1.088
25,CH2O,0.9183,0.78
26,CH-O,0.6908,0.468
27,FCH2O,0.9183,1.1
28,CH3NH2,1.5959,1.544
29,CH2NH2,1.3692,1.236
30,CHNH2,1.1417,0.924
31,CH3NH,1.4337,1.244
32,CH2NH,1.207,0.936
33,CHNH,0.9795,0.624
34,CH3N,1.1865,0.94
35,CH2N,0.9597,0.632
36,ACNH2,1.06,0.816
37,C5H5N,2.9993,2.113
38,C5H4N,2.8332,1.833
39,C5H3N,2.667,1.553
40,CH3CN,1.8701,1.724
41,CH2CN,1.6434,1.416
42,COOH,1.3013,1.224
43,HCOOH,1.528,1.532
44,CH2Cl,1.4654,1.264
45,CHCl,1.238,0.952
46,CCl,1.0106,0.724
47,CH2Cl2,2.2564,1.988
48,CHCl2,2.0606,1.684
49,CCl2,1.8016,1.448
50,CHCl3,2.87,2.41
51,CCl3,2.6401,2.184
52,CCl4,3.39,2.91
53,ACCl,1.1562,0.844
54,CH3NO2,2.0086,1.868
55,CH2NO2,1.7818,1.56
56,CHNO2,1.5544,1.248
57,ACNO2,1.4199,1.104
58,CS2,2.507,1.65
59,CH3SH,1.877,1.676
60,CH2SH,1.651,1.368
61,furfural,3.168,2.484
62,(CH2OH)2,2.4088,2.248
63,I,1.264,0.992
64,Br,0.9492,0.832
65,CH=-C,1.2929,1.088
66,C=-C,1.0613,0.784
67,CH3SOCH3,2.8266,2.472
68,CH2=CH-C=-N,2.3144,2.052
69,Cl-(C=C),0.791,0.724
71,ACF,0.6948,0.524
72,DMF-1,3.0856,2.736
73,DMF-2,2.6322,2.12
74,CF3,1.406,1.38
75,CF2,1.0105,0.92
76,CF,0.615,0.46
77,COO,1.38,1.2
78,SiH3,1.6035,1.263
79,SiH2,1.4443,1.006
80,SiH,1.2853,0.749
81,Si,1.047,0.41
82,SiH2O,1.4838,1.062
83,SiHO,1.303,0.764
84,SiO,1.1044,0.466
85,NMP,3.981,3.2
86,CCl3F,3.0356,2.644
87,CCl2F,2.2287,1.916
88,HCCl2F,2.406,2.116
89,HCClF,1.6493,1.416
90,CClF2,1.8174,1.648
91,HCClF2,1.967,1.828
92,CClF3,2.1721,2.1
93,CCl2F2,2.6243,2.376
94,CONH2,1.4515,1.248
95,CONHCH3,2.1905,1.796
96,CONHCH2,1.9637,1.488
97,CON(CH3)2,2.8589,2.428
98,CONCH3CH2,2.6322,2.12
99,CON(CH2)2,2.4054,1.812
100,C2H5O2,2.1226,1.904
101,C2H4O2,1.8952,1.592
102,CH3S,1.613,1.368
103,CH2S,1.3863,1.06
104,CHS,1.1589,0.748
105,Morpholine,3.474,2.796
106,C4H4S,2.8569,2.14
107,C4H3S,2.6908,1.86
108,C4H2S,2.5247,1.58
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
